timestamp,open,close,adjusted close,dividend amount
12/30/22,346.7500,331.3300,331.3300,0.7504
11/30/22,329.3700,346.1500,345.3622,0.6809
10/31/22,290.5550,327.4200,326.0168,0.1820
09/30/22,314.2900,287.3000,285.9014,0.8231
08/31/22,326.9100,315.6500,313.2763,0.6562
07/29/22,307.4000,328.6600,325.5547,0.1285
06/30/22,332.4100,307.8200,304.7863,0.6921
05/31/22,330.3500,330.2000,326.1901,0.7451
04/29/22,348.1500,329.6900,324.9114,0.1260
03/31/22,337.2700,346.8300,341.6779,0.7716
02/28/22,351.6600,339.3400,333.5578,0.5194
01/31/22,364.3400,351.0800,344.5729,0.2578
12/31/21,348.0400,363.3200,356.3178,0.6622
11/30/21,359.4500,344.9000,337.6205,0.7010
10/29/21,340.0300,358.2300,349.9799,0.1167
09/30/21,354.2900,338.2900,330.3898,0.7356
08/31/21,350.4500,353.9200,344.9207,0.6111
07/30/21,345.7800,349.4800,340.0019,0.2067
06/30/21,348.5401,344.9500,335.3949,0.4927
05/28/21,340.7900,345.6400,335.5692,0.7031
04/30/21,330.7800,338.9400,328.3894,0.1119
03/31/21,313.4800,330.1800,319.7973,0.6714
02/26/21,302.2800,309.4500,299.1032,0.6013
01/29/21,306.5900,299.8100,289.2332,0.1275
12/31/20,299.7300,305.7900,294.8802,0.5875
11/30/20,268.9000,296.6200,285.4819,0.6522
10/30/20,279.3300,265.0600,254.5394,0.1168
09/30/20,283.7300,277.5000,266.3769,0.6668
08/31/20,265.6700,284.2800,272.2287,0.6035
07/31/20,258.8700,264.3500,252.5977,0.2112
06/30/20,253.7800,257.8700,246.2108,0.7527
05/29/20,239.5800,254.2900,242.0886,0.4623
04/30/20,210.6500,243.2200,231.0989,0.1302
03/31/20,256.7100,219.2300,208.1926,0.6018
02/28/20,283.6900,254.5600,240.9881,0.8039
01/31/20,286.4400,282.4200,266.6230,0.1385
12/31/19,281.4500,285.1000,269.0261,0.8660
11/29/19,271.8600,280.9500,264.3054,0.5137
10/31/19,269.7600,270.4800,253.9896,0.1729
09/30/19,262.0700,269.1800,252.6057,0.6470
08/30/19,268.8200,264.1300,247.2724,0.0000
