timestamp,open,close,adjusted close,dividend amount
10/31/22,361.08,386.21,386.21,0
9/30/22,392.89,357.18,357.18,1.5964
8/31/22,409.15,395.18,393.5505,0
7/29/22,376.56,411.99,410.2912,0
6/30/22,415.17,377.25,375.6944,1.5769
5/31/22,412.07,412.93,409.4625,0
4/29/22,453.31,412,408.5403,0
3/31/22,435.04,451.64,447.8475,1.366
2/28/22,450.68,436.63,431.6371,0
1/31/22,476.3,449.91,444.7652,0
12/31/21,461.64,474.96,469.5288,1.6335
11/30/21,460.3,455.56,448.7566,0
10/29/21,430.98,459.25,452.3915,0
9/30/21,452.56,429.14,422.7312,1.4281
8/31/21,440.34,451.56,443.3818,0
7/30/21,428.87,438.51,430.5682,0
6/30/21,422.57,428.06,420.3074,1.3759
5/28/21,419.43,420.04,411.0696,0
4/30/21,398.4,417.3,408.3881,0
3/31/21,385.59,396.33,387.8659,1.2778
2/26/21,373.72,380.36,371.0198,0
1/29/21,375.31,370.07,360.9824,0
12/31/20,365.57,373.88,364.6989,1.58
11/30/20,330.2,362.06,351.6641,0
10/30/20,337.69,326.54,317.164,0
9/30/20,350.21,334.89,325.2742,1.3392
8/31/20,328.32,349.31,337.9116,0
7/31/20,309.57,326.52,315.8652,0
6/30/20,303.62,308.36,298.2978,1.3662
5/29/20,285.31,304.32,293.0922,0
4/30/20,247.98,290.48,279.7628,0
3/31/20,298.21,257.75,248.2404,1.4056
2/28/20,323.35,296.26,283.5875,0
1/31/20,323.54,321.73,307.968,0
12/31/19,314.59,321.86,308.0924,1.57
11/29/19,304.92,314.31,299.3998,0
10/31/19,297.74,303.33,288.9407,0
9/30/19,290.57,296.77,282.6919,1.3836
8/30/19,297.6,292.45,277.2905,0
7/31/19,296.68,297.43,282.0124,0
6/28/19,275.31,293,277.812,1.4316
5/31/19,294.72,275.27,259.7363,0
4/30/19,284.7,294.02,277.4282,0
3/29/19,280.44,282.48,266.5395,1.2331
2/28/19,270.15,278.68,261.8063,0
1/31/19,245.98,269.93,253.5861,0
12/31/18,280.28,249.92,234.7877,1.4354
11/30/18,271.6,275.65,257.4246,0
10/31/18,292.11,270.63,252.7365,0
9/28/18,289.84,290.72,271.4982,1.3226
8/31/18,281.56,290.31,269.8928,0
7/31/18,269.51,281.33,261.5444,0
6/29/18,272.41,271.28,252.2012,1.2456
5/31/18,263.87,270.94,250.758,0
4/30/18,262.55,264.51,244.807,0
3/29/18,271.41,263.15,243.5483,1.0968
2/28/18,281.07,271.65,250.4135,0
1/31/18,267.84,281.9,259.8622,0
12/29/17,264.76,266.86,245.998,1.3513
11/30/17,258.04,265.01,243.0602,0
10/31/17,251.49,257.15,235.8512,0
9/29/17,247.92,251.23,230.4215,1.2346
8/31/17,247.46,247.49,225.8722,0
7/31/17,242.88,246.77,225.2151,0
6/30/17,241.97,241.8,220.6792,1.1831
5/31/17,238.68,241.44,219.2815,0
4/28/17,235.8,238.08,216.2298,0
3/31/17,238.39,235.74,214.1046,1.0331
2/28/17,227.53,236.47,213.8356,0
1/31/17,225.04,227.53,205.7513,0
12/30/16,220.73,223.53,202.1342,1.3289
11/30/16,212.93,220.38,198.1157,0
10/31/16,215.82,212.55,191.0768,0
9/30/16,217.37,216.3,194.4479,1.0821
8/31/16,217.19,217.38,194.4328,0
7/29/16,209.48,217.12,194.2002,0
6/30/16,209.12,209.48,187.3667,1.0784
5/31/16,206.92,209.84,186.7137,0
4/29/16,204.35,206.33,183.5906,0
3/31/16,195.01,205.52,182.8698,1.0496
2/29/16,192.53,193.56,171.348,0
1/29/16,200.49,193.72,171.4896,0
12/31/15,209.44,203.87,180.4748,1.2115
11/30/15,208.32,208.69,183.6294,0
10/30/15,192.08,207.93,182.9607,0
9/30/15,193.12,191.59,168.5829,1.0334
8/31/15,210.46,197.54,172.9037,0
7/31/15,207.73,210.45,184.2037,0
6/30/15,211.94,205.89,180.2124,1.0301
5/29/15,209.4,211.14,183.909,0
4/30/15,206.43,208.46,181.5746,0
3/31/15,210.78,206.43,179.8064,0.9308
2/27/15,200.05,210.66,182.6827,0
1/30/15,206.38,199.45,172.9615,0
12/31/14,206.4,205.54,178.2427,1.1349
11/28/14,201.92,207.2,178.7002,0
10/31/14,196.7,201.66,173.9222,0
9/30/14,200.97,197.02,169.9205,0.9392
8/29/14,192.56,200.71,172.2966,0
7/31/14,196.2,193.09,165.7554,0
6/30/14,192.95,195.72,168.013,0.9367
5/30/14,188.22,192.68,164.6164,0
4/30/14,187.62,188.31,160.8829,0
3/31/14,184.65,187.01,159.7723,0.8246
2/28/14,177.97,186.29,158.4554,0
1/31/14,183.98,178.18,151.5572,0
12/31/13,181.09,184.69,157.0945,0.9802
11/29/13,176.02,181,153.1291,0
10/31/13,168.14,175.79,148.7213,0
9/30/13,165.23,168.01,142.1393,0.8379
8/30/13,169.99,163.65,137.7744,0
7/31/13,161.26,168.71,142.0344,0
6/28/13,163.83,160.42,135.0551,0.8391
5/31/13,159.33,163.45,136.884,0
4/30/13,156.59,159.68,133.7267,0
3/28/13,151.09,156.67,131.2059,0.6937
2/28/13,150.65,151.61,126.4056,0
1/31/13,145.11,149.7,124.8132,0
12/31/12,142.8,142.41,118.7351,1.0218
11/30/12,141.65,142.15,117.6762,0
10/31/12,144.52,141.35,117.0139,0
9/28/12,141.04,143.97,119.1828,0.7794
8/31/12,138.7,141.16,116.2355,0
7/31/12,136.48,137.71,113.3947,0
6/29/12,129.41,136.1,112.069,0.6883
5/31/12,139.79,131.47,107.7039,0
4/30/12,140.64,139.87,114.5854,0
3/30/12,137.31,140.81,115.3555,0.6139
2/29/12,132.29,137.02,111.7616,0
1/31/12,127.76,131.32,107.1123,0
12/30/11,124.85,125.5,102.3652,0.7701
11/30/11,122.03,124.99,101.3075,0
10/31/11,112.49,125.5,101.7209,0
9/30/11,122.29,113.15,91.7109,0.625
8/31/11,130.84,122.22,98.5555,0
7/29/11,132.09,129.33,104.2889,0
6/30/11,134.51,131.97,106.4177,0.6276
5/31/11,137.07,134.9,108.2457,0
4/29/11,133.41,136.43,109.4734,0
3/31/11,133.57,132.59,106.3921,0.5533
2/28/11,129.46,133.15,106.3807,0
1/31/11,126.71,128.68,102.8094,0
12/31/10,120.2,125.75,100.4685,0.6528
11/30/10,119.07,118.49,94.1735,0
10/29/10,114.99,118.49,94.1735,0
9/30/10,106.73,114.13,90.7083,0.6021
8/31/10,111.99,105.31,83.2527,0
7/30/10,103.15,110.27,87.1738,0
6/30/10,108.35,103.22,81.6004,0.5313
5/28/10,119.38,109.37,86.0531,0
4/30/10,117.8,118.81,93.4806,0
3/31/10,111.2,117,92.0564,0.4804
2/26/10,108.15,110.74,86.7716,0
1/29/10,112.37,107.39,84.1467,0
12/31/09,110.92,111.44,87.3201,0.5902
11/30/09,104.13,109.94,85.6859,0
10/30/09,103,103.56,80.7134,0
9/30/09,101.95,105.59,82.2956,0.5083
8/31/09,99.85,102.46,79.4775,0
7/31/09,92.34,98.81,76.6462,0
6/30/09,93.67,91.95,71.325,0.5182
5/29/09,87.44,92.53,71.373,0
4/30/09,78.53,87.42,67.4314,0
3/31/09,72.52,79.52,61.3378,0.5614
2/27/09,81.57,73.93,56.6116,0
1/30/09,90.44,82.83,63.4267,0
12/31/08,87.51,90.24,69.1009,0.7193
11/28/08,96.78,90.09,68.4279,0
10/31/08,115.27,96.83,73.5473,0
9/30/08,130.03,115.99,88.1003,0.6909
8/29/08,127.12,128.79,97.281,0
7/31/08,126.52,126.83,95.8005,0
6/30/08,139.83,127.98,96.6692,0.6692
5/30/08,138.38,140.35,105.4763,0
4/30/08,133.61,138.26,103.9056,0
3/31/08,133.14,131.97,99.1786,0.642
2/29/08,137.94,133.82,100.0824,0
1/31/08,146.53,137.37,102.7374,0
12/31/07,148.19,146.21,109.3488,0.7754
11/30/07,153.29,148.66,110.6021,0
10/31/07,152.6,154.65,115.0587,0
9/28/07,147.45,152.58,113.5186,0.7187
8/31/07,145.18,147.59,109.2892,0
7/31/07,150.87,145.72,107.9045,0
6/29/07,153.88,150.43,111.3922,0.6556
5/31/07,148.42,153.32,113.048,0
4/30/07,142.16,148.29,109.3392,0
