Month end,Open at start of month,Close at end of month,10 month moving average,Buy and hold shares,Buy and hold value,Trend following shares,Trend following value,Taxes paid,Comments
12/31/98,119.25,123.3125,0.0,83.86,10340.99,83.86,10340.99,0,
1/29/99,123.375,127.656197,0.0,83.86,10705.25,83.86,10705.25,0,
2/26/99,128.6875,123.5625,0.0,83.86,10361.95,83.86,10361.95,0,
3/31/99,123.656197,128.375,0.0,84.07,10792.49,84.07,10792.49,0,
4/30/99,129.6875,133.25,0.0,84.07,11202.33,84.07,11202.33,0,
5/28/99,133.4375,130.203094,0.0,84.07,10946.17,84.07,10946.17,0,
6/30/99,130.125,137.0,0.0,84.32,11551.84,84.32,11551.84,0,
7/30/99,137.0,132.75,0.0,84.32,11193.48,84.32,11193.48,0,
8/31/99,132.75,132.0625,0.0,84.32,11135.51,84.32,11135.51,0,
9/30/99,132.9375,128.75,129.69,84.55999999999999,10887.1,0,10819.08,0,Sold 84.32 at 127.9375
10/29/99,127.9375,137.0,131.47,84.55999999999999,11584.72,79.26,10858.62,0,Bought 79.26 at 136.5
11/30/99,136.5,139.281204,133.06,84.55999999999999,11777.62,79.26,11039.43,0,
12/31/99,139.3125,146.875,134.88,84.75999999999999,12449.12,79.45,11669.22,0,
1/31/00,148.25,139.5625,136.47,84.75999999999999,11829.32,79.45,11088.24,0,
2/29/00,139.75,137.4375,137.24,84.75999999999999,11649.2,79.45,10919.41,0,
3/31/00,137.625,150.375,138.94,84.96999999999998,12777.36,79.65,11977.37,0,
4/28/00,150.125,145.0937,140.43,84.96999999999998,12328.61,79.65,11556.71,0,
5/31/00,146.5625,142.8125,141.01,84.96999999999998,12134.78,79.65,11375.02,0,
6/30/00,143.6875,145.2812,142.27,85.16999999999999,12373.6,79.84,11599.25,0,
7/31/00,145.4375,143.0,143.27,85.16999999999999,12179.31,0,11467.02,0,Sold 79.84 at 143.625
8/31/00,143.625,152.3437,145.71,85.16999999999999,12975.11,74.83,11399.88,0,Bought 74.83 at 153.25
9/29/00,153.25,143.625,146.43,85.38999999999999,12264.14,0,10824.64,0,Sold 74.83 at 144.2812
10/31/00,144.2812,142.9531,146.79,85.38999999999999,12206.77,0,10824.64,0,
11/30/00,142.25,132.2812,145.19,85.38999999999999,11295.49,0,10824.64,0,
12/29/00,133.1875,131.1875,144.34,85.65999999999998,11237.52,0,10824.64,0,
1/31/01,132.0,137.02,144.28,85.65999999999998,11737.13,0,10824.64,0,
2/28/01,137.1,123.95,141.66,85.65999999999998,10617.56,0,10824.64,0,
3/30/01,124.05,116.69,138.67,85.88999999999999,10022.5,0,10824.64,0,
4/30/01,116.3,126.66,136.97,85.88999999999999,10878.83,0,10824.64,0,
5/31/01,125.07,125.95,135.02,85.88999999999999,10817.85,0,10824.64,0,
6/29/01,126.2,122.6,132.92,86.12999999999998,10559.54,0,10824.64,0,
7/31/01,122.8,121.35,129.73,86.12999999999998,10451.88,0,10824.64,0,
8/31/01,121.97,114.15,126.72,86.12999999999998,9831.74,0,10824.64,0,
9/28/01,113.85,104.44,122.93,86.42999999999998,9026.75,0,10824.64,0,
10/31/01,103.9,105.8,120.2,86.42999999999998,9144.29,0,10824.64,0,
11/30/01,106.6,114.05,118.4,86.42999999999998,9857.34,0,10824.64,0,
12/31/01,113.65,114.3,116.12,86.72999999999998,9913.24,0,10824.64,0,
1/31/02,115.11,113.18,115.03,86.72999999999998,9816.1,0,10824.64,0,
2/28/02,113.09,111.15,114.52,86.72999999999998,9640.04,0,10824.64,0,
3/28/02,111.72,114.52,113.46,86.97999999999998,9960.95,95.03,10882.84,0,Bought 94.76 at 114.23
4/30/02,114.23,107.86,111.63,86.97999999999998,9381.66,0,10260.39,0,Sold 95.03 at 107.97
5/31/02,107.97,107.22,110.07,86.97999999999998,9326.0,0,10260.39,0,
