timestamp,open,close,adjusted close,dividend amount
12/30/22,103.1500,99.5600,99.5600,0.5053
11/30/22,97.3800,102.7300,102.2469,0.2356
10/31/22,103.8500,96.1100,95.4256,0.2441
09/30/22,109.8700,102.4500,101.4819,0.2361
08/31/22,118.2500,111.8800,110.5845,0.2130
07/29/22,115.9000,117.4300,115.8647,0.2269
06/30/22,117.0300,114.8700,113.1171,0.2074
05/31/22,117.8600,116.5600,114.5768,0.2031
04/29/22,130.0100,119.4500,117.2145,0.2017
03/31/22,140.3600,132.0800,129.4109,0.1847
02/28/22,142.2800,139.8700,136.8646,0.1981
01/31/22,146.4100,142.3900,139.1359,0.0000
12/31/21,150.4850,148.1900,144.8033,0.3518
11/30/21,145.8000,151.5900,147.7807,0.1882
10/29/21,144.8500,147.6900,143.7939,0.1831
09/30/21,149.2700,144.3200,140.3360,0.1893
08/31/21,149.4540,148.8300,144.5377,0.1817
07/30/21,143.9800,149.5200,145.0329,0.1875
06/30/21,137.8200,144.3500,139.8362,0.1993
05/28/21,138.7000,138.4400,133.9179,0.2031
04/30/21,136.5500,138.6400,133.9150,0.1851
03/31/21,140.6600,135.4500,130.6579,0.1717
02/26/21,151.6600,143.1200,137.8887,0.1758
01/29/21,156.6700,152.0000,146.2750,0.0000
12/31/20,158.5500,157.7300,151.7892,0.3269
11/30/20,158.7000,160.0200,153.6730,0.1695
10/30/20,162.5100,157.5700,151.1587,0.1691
09/30/20,161.7600,163.2600,156.4553,0.1829
08/31/20,169.2400,162.1900,155.2565,0.1901
07/31/20,162.8100,171.0000,163.5070,0.1917
06/30/20,162.1000,163.9300,156.5632,0.2102
05/29/20,167.5000,163.5900,156.0363,0.2162
04/30/20,168.4800,166.7400,158.8364,0.2380
03/31/20,155.3000,164.9700,156.9267,0.2292
02/28/20,144.9500,155.3100,147.5180,0.2420
01/31/20,136.7900,145.9000,138.3501,0.0000
12/31/19,138.1400,135.4800,128.4693,0.4581
11/29/19,140.7300,140.4200,132.7109,0.2456
10/31/19,141.2600,141.2400,133.2530,0.2501
09/30/19,147.0900,143.0800,134.7537,0.2602
08/30/19,133.3900,147.2800,138.4646,0.2640
07/31/19,132.5700,132.8900,124.6926,0.2602
06/28/19,131.9100,132.8100,124.3728,0.2695
05/31/19,123.6900,131.8300,123.2044,0.2589
04/30/19,125.2900,123.6500,115.3186,0.2782
03/29/19,119.3300,126.4400,117.6574,0.2533
02/28/19,121.4800,120.0200,111.4455,0.2748
01/31/19,121.6600,121.9700,112.9994,0.0000
12/31/18,114.6800,121.5100,112.5732,0.5487
11/30/18,112.8500,115.3300,106.3516,0.2747
10/31/18,116.6600,113.5800,104.4848,0.2609
09/28/18,119.9600,117.2700,107.6375,0.2723
08/31/18,118.2900,121.0000,110.8098,0.2668
07/31/18,121.7400,119.7000,109.3729,0.2749
06/29/18,120.1700,121.7200,110.9672,0.2810
05/31/18,118.7700,121.2200,110.2538,0.2621
04/30/18,121.3500,119.1000,108.0864,0.2604
03/29/18,118.4300,121.9000,110.3916,0.2390
02/28/18,122.4800,118.7500,107.3240,0.2546
01/31/18,126.4900,122.7300,110.6876,0.0000
12/29/17,125.8700,126.8600,114.4124,0.5163
11/30/17,124.3500,125.1200,112.3805,0.2631
10/31/17,124.8100,124.4600,111.5525,0.2524
09/29/17,127.3100,124.7600,111.5948,0.2626
08/31/17,123.1800,127.9900,114.2472,0.2687
07/31/17,125.0000,124.0400,110.4832,0.2576
06/30/17,123.7000,125.1200,111.2149,0.2630
05/31/17,121.6900,124.4000,110.3412,0.2548
04/28/17,120.4500,122.3500,108.2950,0.2546
03/31/17,119.4400,120.7100,106.6203,0.2339
02/28/17,119.1000,121.7400,107.3200,0.2592
01/31/17,118.4100,120.1000,105.6444,0.0000
12/30/16,118.5100,119.1300,104.7911,0.5512
11/30/16,130.1600,120.2400,105.2760,0.2499
10/31/16,137.6800,131.2500,114.6971,0.2471
09/30/16,138.6200,137.5100,119.9510,0.2542
08/31/16,139.7800,139.8700,121.7881,0.2581
07/29/16,140.8100,141.5600,123.0324,0.2552
06/30/16,130.6300,138.9000,120.5018,0.2673
05/31/16,128.6600,130.1600,112.6885,0.2602
04/29/16,130.9800,129.3800,111.7857,0.2704
03/31/16,130.8200,130.6100,112.6154,0.2484
02/29/16,126.7900,130.9800,112.7165,0.2410
01/29/16,121.9300,127.3000,109.3415,0.0000
12/31/15,121.2600,120.5800,103.5695,0.5105
11/30/15,121.7800,121.4500,103.8828,0.2666
10/30/15,124.0800,122.7800,104.7913,0.2563
09/30/15,121.6400,123.5400,105.2222,0.2627
08/31/15,122.3200,121.4200,103.1944,0.2674
07/31/15,115.8200,122.5300,103.9129,0.2582
06/30/15,122.1100,117.5300,99.4505,0.2644
05/29/15,124.7300,122.7100,103.6075,0.2581
04/30/15,131.3300,125.9500,106.1223,0.2731
03/31/15,129.0000,130.6900,109.8890,0.2521
02/27/15,136.7000,129.5300,108.6976,0.2790
01/30/15,126.2900,138.2800,115.8053,0.0000
12/31/14,122.6800,125.9200,105.4542,0.5378
11/28/14,118.9000,122.4900,102.1334,0.2900
10/31/14,116.8900,119.2500,99.1901,0.2894
09/30/14,117.2800,116.2700,96.4752,0.2710
08/29/14,113.5800,119.0500,98.5531,0.2998
07/31/14,112.5000,113.9800,94.1097,0.2918
06/30/14,113.0400,113.5200,93.4870,0.2938
05/30/14,110.8800,114.1000,93.7208,0.2693
04/30/14,108.2600,111.1000,91.0378,0.2802
03/31/14,108.8800,109.1000,89.1673,0.2633
02/28/14,107.7900,108.5700,88.5204,0.2756
01/31/14,101.7200,108.2800,88.0620,0.0000
12/31/13,103.8000,101.8600,82.8407,0.6447
11/29/13,106.9700,104.4500,84.4163,0.2879
10/31/13,105.9000,107.6400,86.7593,0.2777
09/30/13,104.5900,106.4000,85.5353,0.2790
08/30/13,106.4900,105.9900,84.9782,0.2700
07/31/13,109.7300,107.7000,86.1285,0.2516
06/28/13,113.7800,110.4400,88.1189,0.2751
05/31/13,123.4600,114.4500,91.1001,0.2606
04/30/13,117.5200,123.0100,97.7084,0.2551
03/28/13,118.8400,117.7600,93.3371,0.2539
02/28/13,117.7300,118.5100,93.7315,0.2602
01/31/13,119.7600,117.3200,92.5818,0.0000
12/31/12,123.7200,121.1800,95.6279,0.5131
11/30/12,122.7700,124.7900,98.0684,0.2696
10/31/12,123.9700,123.3600,96.7315,0.2597
09/28/12,126.9200,124.2200,97.2029,0.2717
08/31/12,128.5300,127.7200,99.7289,0.2725
07/31/12,125.4500,129.7000,101.0611,0.2688
06/29/12,128.8700,125.2000,97.3474,0.2627
05/31/12,117.4300,127.6000,99.0140,0.2835
04/30/12,113.0000,117.3200,90.8159,0.2900
03/30/12,116.1700,112.2000,86.6293,0.2668
02/29/12,119.7500,117.4300,90.4594,0.2888
01/31/12,119.4200,120.8500,92.8689,0.0000
12/30/11,116.2900,121.2500,93.1763,0.6697
11/30/11,118.7100,117.8800,90.0738,0.2995
10/31/11,121.8800,115.8800,88.3242,0.3059
09/30/11,107.4700,120.8000,91.8473,0.3224
08/31/11,97.3900,107.0300,81.1375,0.3252
07/29/11,94.1300,97.9200,73.9874,0.3197
06/30/11,96.9200,94.1000,70.8591,0.3520
05/31/11,93.3200,96.6900,72.5479,0.4001
04/29/11,91.5000,93.8900,70.1473,0.3858
03/31/11,91.5200,92.1300,68.5455,0.2969
02/28/11,90.5500,92.4000,68.5261,0.3200
01/31/11,93.2000,91.2200,67.4125,0.0000
12/31/10,96.6500,94.1200,69.5557,0.6602
11/30/10,100.8000,98.4100,72.2167,0.3194
10/29/10,104.2300,100.4200,73.4563,0.3922
09/30/10,107.0200,105.5100,76.8912,0.3222
08/31/10,99.2400,108.5600,78.8742,0.3244
07/30/10,101.5700,100.4800,72.7646,0.3095
06/30/10,97.2300,101.7500,73.4605,0.3259
05/28/10,91.4200,96.5000,69.4365,0.3200
04/30/10,88.7700,92.1300,66.0615,0.3317
03/31/10,91.3300,89.5000,63.9373,0.2896
02/26/10,91.7100,91.6700,65.2805,0.3248
01/29/10,89.8400,92.3100,65.5028,0.0000
12/31/09,95.7600,89.8900,63.7856,0.6248
11/30/09,95.5100,96.6300,68.1068,0.3083
10/30/09,98.9600,95.7800,67.2894,0.3073
09/30/09,95.8200,98.6600,69.0998,0.3075
08/31/09,93.8100,96.6000,67.4411,0.3185
07/31/09,93.4200,94.8100,65.9657,0.3033
06/30/09,92.3400,94.5700,65.5872,0.3054
05/29/09,97.1200,94.1700,65.0916,0.2967
04/30/09,106.1200,98.0800,67.5877,0.3021
03/31/09,102.2200,105.7100,72.6393,0.2822
02/27/09,104.0200,101.8800,69.8168,0.2853
01/30/09,120.0500,103.7500,70.9063,0.0000
12/31/08,107.7500,119.3500,81.5679,0.7601
11/28/08,92.7200,105.7200,71.7782,0.3700
10/31/08,96.0400,92.8300,62.7760,0.2900
09/30/08,92.9800,94.8800,63.9687,0.3400
08/29/08,90.9700,93.8400,63.0404,0.3325
07/31/08,92.6900,91.6700,61.3597,0.3317
06/30/08,89.9800,92.3400,61.5856,0.3266
05/30/08,93.4700,90.2800,59.9947,0.3364
04/30/08,94.8100,93.1150,61.6551,0.4061
03/31/08,93.6000,95.8900,63.2192,0.3479
02/29/08,95.0700,94.2300,61.8948,0.3288
01/31/08,93.2701,94.9900,62.1793,0.0000
12/31/07,94.8100,93.0450,60.9061,0.7376
11/30/07,90.0000,94.3800,61.2924,0.3938
10/31/07,88.5500,89.9800,58.1825,0.3448
09/28/07,88.8300,88.7200,57.1461,0.3618
08/31/07,87.3100,88.8800,57.0162,0.3405
07/31/07,84.8400,87.6600,56.0147,0.3257
06/29/07,85.9500,85.1700,54.2166,0.3376
05/31/07,88.5800,86.3800,54.7708,0.3240
04/30/07,88.1100,88.4200,55.8598,0.3260
03/30/07,90.2800,88.2800,55.5657,0.3426
02/28/07,87.6500,90.1500,56.5269,0.3553
01/31/07,89.2200,87.1900,54.4487,0.0000
12/29/06,91.2800,88.4300,55.2231,0.6447
11/30/06,89.6100,91.1800,56.5353,0.3454
10/31/06,89.1000,89.4600,55.2566,0.3537
09/29/06,87.6200,89.4100,55.0079,0.3502
08/31/06,85.3000,88.0800,53.9743,0.3421
07/31/06,83.8400,85.8100,52.3736,0.3267
06/30/06,83.4300,84.3200,51.2646,0.3322
05/31/06,83.6600,83.6700,50.6683,0.3297
04/28/06,86.2400,83.8300,50.5648,0.3284
03/31/06,90.7700,86.5400,52.0022,0.3197
02/28/06,90.1500,91.0300,54.5076,0.3205
01/31/06,91.5900,90.3400,53.9026,0.0000
12/30/05,90.0000,91.9000,54.8334,0.7727
11/30/05,89.4300,90.0000,53.2449,0.3965
10/31/05,91.7900,89.7800,52.8799,0.3618
