timestamp,open,close,adjusted close,dividend amount
10/31/22,69.1,74.08,74.08,0
9/30/22,74.5,68.01,68.01,0.4099
8/31/22,77.76,75.41,74.9929,0
7/29/22,72.99,78.13,77.6979,0
6/30/22,86.17,73.6,73.1929,0.5146
5/31/22,85.14,86.03,84.9752,0
4/29/22,88.66,85.03,83.9875,0
3/31/22,83.14,88.15,87.0692,0.3225
2/28/22,84.88,83.38,82.0517,0
1/31/22,90.72,84.45,83.1047,0
12/31/21,85.99,90.61,89.1666,0.4417
11/30/21,85.26,84.65,82.8742,0
10/29/21,79.49,85.12,83.3343,0
9/30/21,85.52,79.11,77.4504,0.3537
8/31/21,84.42,85.61,83.4425,0
7/30/21,82.97,84.02,81.8927,0
6/30/21,88.27,82.31,80.226,0.3486
5/28/21,83.75,87.26,84.6909,0
4/30/21,78.93,83.04,80.5951,0
3/31/21,74.52,78.8,76.48,0.3275
2/26/21,71.37,73.55,71.085,0
1/29/21,73.03,70.64,68.2725,0
12/31/20,72.2,72.39,69.9639,0.3593
11/30/20,64.13,70.99,68.2676,0
10/30/20,63.94,63.18,60.7571,0
9/30/20,62.99,63.64,61.1995,0.3076
8/31/20,60.67,62.99,60.281,0
7/31/20,56.41,60.36,57.7642,0
6/30/20,55.47,56.35,53.9266,0.307
5/29/20,50.98,55.45,52.7764,0
4/30/20,43.39,51.88,49.3786,0
3/31/20,53.22,45.04,42.8684,0.2699
2/28/20,57.85,52.72,49.8273,0
1/31/20,61.83,57.63,54.4679,0
12/31/19,59.94,61.42,58.05,0.334
11/29/19,58.49,60.04,56.4361,0
10/31/19,58.29,58.19,54.6971,0
9/30/19,56.25,58.2,54.7065,0.2943
8/30/19,58.27,56.69,53.0197,0
7/31/19,58.93,58.34,54.5629,0
6/28/19,52.9,58.5,54.7125,0.3461
5/31/19,57.53,52.75,49.0405,0
4/30/19,55.89,57.45,53.4099,0
3/29/19,55.45,55.5,51.5971,0.2391
2/28/19,53.32,55.05,50.9588,0
1/31/19,49.78,53.35,49.3851,0
12/31/18,55.74,50.52,46.7655,0.3186
11/30/18,53.57,54.61,50.2223,0
10/31/18,58.25,52.61,48.3829,0
9/28/18,59.11,57.93,53.2755,0.2888
8/31/18,59.6,59.27,54.2491,0
7/31/18,57.65,59.73,54.6702,0
6/29/18,58.61,58.07,53.1508,0.2798
5/31/18,56.7,58.18,53.0032,0
4/30/18,56.75,57.01,51.9373,0
3/29/18,59.6,56.94,51.8735,0.226
2/28/18,62.51,59.63,54.1174,0
1/31/18,60.85,62.95,57.1305,0
12/29/17,59.67,60.53,54.9342,0.2879
11/30/17,59.3,59.56,53.7918,0
10/31/17,56.73,59,53.286,0
9/29/17,55.26,56.8,51.2991,0.3019
8/31/17,54.87,55.07,49.4702,0
7/31/17,53.94,54.64,49.084,0
6/30/17,53.05,53.81,48.3384,0.2524
5/31/17,53.32,53.08,47.4608,0
4/28/17,52.43,53.07,47.4519,0
3/31/17,52.73,52.41,46.8618,0.164
2/28/17,51.94,52.25,46.5728,0
1/31/17,49.83,51.96,46.3143,0
12/30/16,50.11,49.7,44.2998,0.3341
11/30/16,46.85,49.94,44.2207,0
10/31/16,47.78,46.75,41.3961,0
9/30/16,48.71,47.75,42.2815,0.2422
8/31/16,48.7,48.56,42.7772,0
7/29/16,46.34,48.69,42.8917,0
6/30/16,46.85,46.34,40.8216,0.2353
