timestamp,open,close,adjusted close,dividend amount
12/30/22,77.0500,74.5500,74.5500,0.5330
11/30/22,72.9200,77.1900,76.6400,0.0000
10/31/22,67.21,72.74,72.74,0.0
9/30/22,72.86,66.73,66.73,0.4605
8/31/22,74.39,73.11,72.6411,0.0
7/29/22,72.2,74.49,74.0122,0.0
6/30/22,74.57,72.18,71.717,0.5129
5/31/22,78.18,74.47,73.4552,0.0
4/29/22,76.03,77.64,76.582,0.0
3/31/22,74.7,75.89,74.8559,0.3349
2/28/22,75.97,74.9,73.5463,0.0
1/31/22,76.66,75.97,74.597,0.0
12/31/21,70.77,77.11,75.7164,0.5117
11/30/21,71.4,70.29,68.5501,0.0
10/29/21,69.05,71.25,69.4863,0.0
9/30/21,72.32,68.84,67.136,0.442
8/31/21,71.51,72.26,70.0304,0.0
7/30/21,70.0,71.51,69.3036,0.0
6/30/21,71.08,69.97,67.8111,0.4436
5/28/21,69.73,70.81,68.1877,0.0
4/30/21,68.04,69.58,67.0032,0.0
3/31/21,63.75,68.31,65.7802,0.3569
2/26/21,64.36,63.3,60.6314,0.0
1/29/21,67.42,64.09,61.3881,0.0
12/31/20,67.21,67.45,64.6065,0.5644
11/30/20,63.15,66.91,63.551,0.0
10/30/20,64.47,62.26,59.1344,0.0
9/30/20,65.57,64.1,60.882,0.3766
8/31/20,62.73,65.58,61.9166,0.0
7/31/20,58.75,62.7,59.1975,0.0
6/30/20,59.26,58.64,55.3643,0.4608
5/29/20,57.94,59.23,55.4879,0.0
4/30/20,52.99,58.26,54.5792,0.0
3/31/20,58.11,54.47,51.0286,0.2874
2/28/20,63.41,57.99,54.0071,0.0
1/31/20,63.1,63.18,58.8406,0.0
12/31/19,61.88,62.98,58.6543,0.513
11/29/19,61.27,62.0,57.276,0.0
10/31/19,61.45,61.16,56.5,0.0
9/30/19,60.46,61.42,56.7402,0.3578
8/30/19,59.6,60.72,55.7628,0.0
7/31/19,58.37,59.43,54.5781,0.0
6/28/19,55.69,58.07,53.3291,0.4485
5/31/19,57.78,55.61,50.6829,0.0
4/30/19,56.22,57.71,52.5968,0.0
3/29/19,54.5,56.11,51.1386,0.2977
2/28/19,53.55,54.34,49.2573,0.0
1/31/19,50.24,53.39,48.3962,0.0
12/31/18,56.46,50.78,46.0303,0.464
11/30/18,55.13,56.26,50.5305,0.0
10/31/18,54.01,55.01,49.4078,0.0
9/28/18,53.71,53.93,48.4378,0.3885
8/31/18,53.41,53.78,47.9644,0.0
7/31/18,51.3,53.57,47.7771,0.0
6/29/18,49.8,51.53,45.9577,0.3938
5/31/18,50.26,49.66,43.954,0.0
4/30/18,52.47,50.45,44.6533,0.0
3/29/18,53.28,52.63,46.5828,0.2986
2/28/18,57.6,53.41,47.0096,0.0
1/31/18,56.95,57.82,50.8911,0.0
12/29/17,55.93,56.89,50.0726,0.4177
11/30/17,53.24,56.05,48.9736,0.0
10/31/17,53.98,53.09,46.3873,0.0
9/29/17,54.82,53.98,47.1649,0.346
8/31/17,55.38,54.71,47.5051,0.0
7/31/17,54.98,55.32,48.0347,0.0
6/30/17,56.71,54.94,47.7048,0.4358
5/31/17,55.26,56.64,48.8008,0.0
4/28/17,54.66,55.18,47.5429,0.0
3/31/17,55.13,54.58,47.0259,0.2898
2/28/17,52.34,55.1,47.225,0.0
1/31/17,51.75,52.59,45.0737,0.0
12/30/16,50.39,51.71,44.3195,0.3858
11/30/16,52.8,50.58,43.032,0.0
10/31/16,53.12,52.8,44.9207,0.0
9/30/16,54.16,53.21,45.2695,0.3281
8/31/16,54.66,54.38,45.9791,0.0
7/29/16,55.25,54.7,46.2497,0.0
6/30/16,52.7,55.15,46.6302,0.3234
5/31/16,52.45,52.66,44.2571,0.0
4/29/16,52.84,52.3,43.9546,0.0
3/31/16,51.21,53.06,44.5933,0.2709
2/29/16,50.65,50.92,42.5757,0.0
1/29/16,49.83,50.76,42.4419,0.0
12/31/15,49.52,50.49,42.2162,0.3699
11/30/15,49.91,49.42,41.014,0.0
10/30/15,47.22,49.88,41.3958,0.0
9/30/15,46.37,47.205,39.1758,0.3077
8/31/15,50.3,47.31,39.0086,0.0
7/31/15,47.92,50.31,41.4822,0.0
6/30/15,48.89,47.6,39.2477,0.3017
5/29/15,48.55,48.79,39.981,0.0
4/30/15,48.72,48.37,39.6369,0.0
3/31/15,50.05,48.74,39.9401,0.2956
2/27/15,48.11,50.01,40.7347,0.0
1/30/15,48.62,48.02,39.1138,0.0
12/31/14,49.08,48.49,39.4967,0.3503
11/28/14,46.64,49.3,39.8692,0.0
10/31/14,45.07,46.71,37.7746,0.0
9/30/14,45.18,45.11,36.4807,0.2865
8/29/14,43.53,45.13,36.2682,0.0
7/31/14,44.69,43.1399,34.6688,0.0
6/30/14,44.96,44.62,35.8583,0.3111
5/30/14,44.15,45.04,35.9485,0.0
4/30/14,43.01,44.24,35.31,0.0
3/31/14,42.01,43.06,34.3681,0.2164
2/28/14,40.71,42.35,33.6302,0.0
